Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Sweden,North Central Sweden,SE-SE2,1.05,19.40,99.77,99.77,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-02 00:00:00,Sweden,North Central Sweden,SE-SE2,1.10,19.48,99.76,99.76,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-03 00:00:00,Sweden,North Central Sweden,SE-SE2,0.94,18.63,99.79,99.79,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-04 00:00:00,Sweden,North Central Sweden,SE-SE2,1.02,18.87,99.77,99.77,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-05 00:00:00,Sweden,North Central Sweden,SE-SE2,1.27,19.51,99.73,99.73,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-06 00:00:00,Sweden,North Central Sweden,SE-SE2,1.30,19.55,99.72,99.72,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-07 00:00:00,Sweden,North Central Sweden,SE-SE2,1.34,19.68,99.72,99.72,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-08 00:00:00,Sweden,North Central Sweden,SE-SE2,1.23,19.60,99.74,99.74,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-09 00:00:00,Sweden,North Central Sweden,SE-SE2,1.11,18.74,99.76,99.76,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-10 00:00:00,Sweden,North Central Sweden,SE-SE2,1.16,19.13,99.75,99.75,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-11 00:00:00,Sweden,North Central Sweden,SE-SE2,0.91,18.61,99.80,99.80,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-12 00:00:00,Sweden,North Central Sweden,SE-SE2,0.87,17.94,99.81,99.81,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-13 00:00:00,Sweden,North Central Sweden,SE-SE2,0.81,18.00,99.81,99.81,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-14 00:00:00,Sweden,North Central Sweden,SE-SE2,0.90,18.58,99.79,99.79,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-15 00:00:00,Sweden,North Central Sweden,SE-SE2,0.73,17.43,99.83,99.83,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-16 00:00:00,Sweden,North Central Sweden,SE-SE2,0.93,18.85,99.79,99.79,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-17 00:00:00,Sweden,North Central Sweden,SE-SE2,0.93,18.62,99.79,99.79,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-18 00:00:00,Sweden,North Central Sweden,SE-SE2,1.04,19.19,99.77,99.77,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-19 00:00:00,Sweden,North Central Sweden,SE-SE2,1.04,19.53,99.77,99.77,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-20 00:00:00,Sweden,North Central Sweden,SE-SE2,0.93,18.76,99.79,99.79,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-21 00:00:00,Sweden,North Central Sweden,SE-SE2,0.99,17.77,99.79,99.74,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-22 00:00:00,Sweden,North Central Sweden,SE-SE2,1.08,17.92,99.77,99.70,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-23 00:00:00,Sweden,North Central Sweden,SE-SE2,0.80,17.86,99.81,99.81,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-24 00:00:00,Sweden,North Central Sweden,SE-SE2,1.02,19.05,99.77,99.77,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-25 00:00:00,Sweden,North Central Sweden,SE-SE2,0.94,18.58,99.79,99.79,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-26 00:00:00,Sweden,North Central Sweden,SE-SE2,1.01,18.90,99.78,99.78,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-27 00:00:00,Sweden,North Central Sweden,SE-SE2,1.02,18.91,99.78,99.78,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-28 00:00:00,Sweden,North Central Sweden,SE-SE2,1.11,19.34,99.76,99.76,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-29 00:00:00,Sweden,North Central Sweden,SE-SE2,1.14,19.62,99.75,99.75,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-30 00:00:00,Sweden,North Central Sweden,SE-SE2,1.04,18.55,99.77,99.75,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-01-31 00:00:00,Sweden,North Central Sweden,SE-SE2,0.94,18.74,99.79,99.79,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-01 00:00:00,Sweden,North Central Sweden,SE-SE2,1.00,19.05,99.78,99.77,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-02 00:00:00,Sweden,North Central Sweden,SE-SE2,1.05,19.42,99.76,99.76,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-03 00:00:00,Sweden,North Central Sweden,SE-SE2,0.85,18.35,99.80,99.80,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-04 00:00:00,Sweden,North Central Sweden,SE-SE2,0.73,17.47,99.83,99.83,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-05 00:00:00,Sweden,North Central Sweden,SE-SE2,0.77,17.67,99.82,99.82,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-06 00:00:00,Sweden,North Central Sweden,SE-SE2,0.81,18.07,99.81,99.81,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-07 00:00:00,Sweden,North Central Sweden,SE-SE2,0.79,17.84,99.82,99.82,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-08 00:00:00,Sweden,North Central Sweden,SE-SE2,0.87,18.33,99.80,99.80,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-09 00:00:00,Sweden,North Central Sweden,SE-SE2,0.92,18.45,99.79,99.79,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-10 00:00:00,Sweden,North Central Sweden,SE-SE2,0.82,17.82,99.81,99.81,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
2021-02-11 00:00:00,Sweden,North Central Sweden,SE-SE2,0.73,17.39,99.83,99.83,Electricity Maps Estimation,true,ESTIMATED_FORECASTS_HIERARCHY
