Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Sweden,North Central Sweden,SE-SE2,2.10,17.64,99.72,98.61,entsoe.eu,false,
2023-01-02 00:00:00,Sweden,North Central Sweden,SE-SE2,1.04,16.41,99.85,99.80,entsoe.eu,false,
2023-01-03 00:00:00,Sweden,North Central Sweden,SE-SE2,1.02,17.93,99.88,99.88,entsoe.eu; Electricity Maps Estimation,false,
2023-01-04 00:00:00,Sweden,North Central Sweden,SE-SE2,1.93,20.80,99.70,99.70,entsoe.eu,false,
2023-01-05 00:00:00,Sweden,North Central Sweden,SE-SE2,2.12,21.16,99.65,99.65,entsoe.eu,false,
2023-01-06 00:00:00,Sweden,North Central Sweden,SE-SE2,1.34,18.74,99.81,99.81,entsoe.eu,false,
2023-01-07 00:00:00,Sweden,North Central Sweden,SE-SE2,1.21,18.30,99.83,99.83,entsoe.eu,false,
2023-01-08 00:00:00,Sweden,North Central Sweden,SE-SE2,2.67,21.14,99.61,99.07,entsoe.eu,false,
2023-01-09 00:00:00,Sweden,North Central Sweden,SE-SE2,2.08,19.67,99.66,99.52,entsoe.eu,false,
2023-01-10 00:00:00,Sweden,North Central Sweden,SE-SE2,1.61,19.36,99.76,99.76,entsoe.eu,false,
2023-01-11 00:00:00,Sweden,North Central Sweden,SE-SE2,1.54,20.56,99.84,98.41,entsoe.eu,false,
2023-01-12 00:00:00,Sweden,North Central Sweden,SE-SE2,0.62,16.54,99.95,99.95,entsoe.eu,false,
2023-01-13 00:00:00,Sweden,North Central Sweden,SE-SE2,0.99,17.85,99.89,99.89,entsoe.eu,false,
2023-01-14 00:00:00,Sweden,North Central Sweden,SE-SE2,1.25,19.30,99.85,99.85,entsoe.eu,false,
2023-01-15 00:00:00,Sweden,North Central Sweden,SE-SE2,2.72,21.27,99.67,97.77,entsoe.eu,false,
2023-01-16 00:00:00,Sweden,North Central Sweden,SE-SE2,2.09,18.64,99.72,99.16,entsoe.eu,false,
2023-01-17 00:00:00,Sweden,North Central Sweden,SE-SE2,1.27,17.71,99.82,99.75,entsoe.eu,false,
2023-01-18 00:00:00,Sweden,North Central Sweden,SE-SE2,1.30,17.69,99.82,99.74,entsoe.eu,false,
2023-01-19 00:00:00,Sweden,North Central Sweden,SE-SE2,1.55,17.77,99.73,99.73,entsoe.eu,false,
2023-01-20 00:00:00,Sweden,North Central Sweden,SE-SE2,0.99,16.63,99.86,99.86,entsoe.eu,false,
2023-01-21 00:00:00,Sweden,North Central Sweden,SE-SE2,1.18,16.99,99.81,99.81,entsoe.eu,false,
2023-01-22 00:00:00,Sweden,North Central Sweden,SE-SE2,1.01,17.28,99.86,99.86,entsoe.eu,false,
2023-01-23 00:00:00,Sweden,North Central Sweden,SE-SE2,1.11,18.24,99.86,99.86,entsoe.eu,false,
2023-01-24 00:00:00,Sweden,North Central Sweden,SE-SE2,1.05,18.29,99.87,99.87,entsoe.eu,false,
2023-01-25 00:00:00,Sweden,North Central Sweden,SE-SE2,1.03,18.57,99.88,99.88,entsoe.eu,false,
2023-01-26 00:00:00,Sweden,North Central Sweden,SE-SE2,0.85,17.75,99.92,99.92,entsoe.eu,false,
2023-01-27 00:00:00,Sweden,North Central Sweden,SE-SE2,1.01,17.38,99.87,99.87,entsoe.eu,false,
2023-01-28 00:00:00,Sweden,North Central Sweden,SE-SE2,1.07,18.27,99.86,99.86,entsoe.eu,false,
2023-01-29 00:00:00,Sweden,North Central Sweden,SE-SE2,0.82,18.64,99.94,99.94,entsoe.eu,false,
2023-01-30 00:00:00,Sweden,North Central Sweden,SE-SE2,0.67,17.15,99.95,99.95,entsoe.eu,false,
2023-01-31 00:00:00,Sweden,North Central Sweden,SE-SE2,1.01,17.77,99.88,99.88,entsoe.eu,false,
2023-02-01 00:00:00,Sweden,North Central Sweden,SE-SE2,0.95,17.50,99.90,99.90,entsoe.eu,false,
2023-02-02 00:00:00,Sweden,North Central Sweden,SE-SE2,1.32,18.28,99.80,99.80,entsoe.eu,false,
2023-02-03 00:00:00,Sweden,North Central Sweden,SE-SE2,1.43,18.99,99.79,99.79,entsoe.eu,false,
2023-02-04 00:00:00,Sweden,North Central Sweden,SE-SE2,1.26,18.03,99.81,99.81,entsoe.eu,false,
2023-02-05 00:00:00,Sweden,North Central Sweden,SE-SE2,0.85,17.17,99.90,99.90,entsoe.eu,false,
