Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Sweden,North Central Sweden,SE-SE2,1.49,19.98,99.80,99.80,entsoe.eu,false,
2024-01-02 00:00:00,Sweden,North Central Sweden,SE-SE2,1.19,17.86,99.83,99.83,entsoe.eu,false,
2024-01-03 00:00:00,Sweden,North Central Sweden,SE-SE2,1.07,16.70,99.84,99.84,entsoe.eu,false,
2024-01-04 00:00:00,Sweden,North Central Sweden,SE-SE2,0.97,15.78,99.84,99.84,entsoe.eu,false,
2024-01-05 00:00:00,Sweden,North Central Sweden,SE-SE2,0.82,15.67,99.88,99.88,entsoe.eu,false,
2024-01-06 00:00:00,Sweden,North Central Sweden,SE-SE2,1.28,16.55,99.78,99.78,entsoe.eu,false,
2024-01-07 00:00:00,Sweden,North Central Sweden,SE-SE2,1.03,16.16,99.83,99.83,entsoe.eu,false,
2024-01-08 00:00:00,Sweden,North Central Sweden,SE-SE2,0.60,16.32,99.95,99.95,entsoe.eu,false,
2024-01-09 00:00:00,Sweden,North Central Sweden,SE-SE2,0.46,15.79,99.97,99.97,entsoe.eu,false,
2024-01-10 00:00:00,Sweden,North Central Sweden,SE-SE2,0.42,14.95,99.96,99.92,entsoe.eu,false,
2024-01-11 00:00:00,Sweden,North Central Sweden,SE-SE2,1.06,16.48,99.84,99.69,entsoe.eu,false,
2024-01-12 00:00:00,Sweden,North Central Sweden,SE-SE2,1.05,17.55,99.86,99.86,entsoe.eu,false,
2024-01-13 00:00:00,Sweden,North Central Sweden,SE-SE2,1.24,18.39,99.83,99.80,entsoe.eu,false,
2024-01-14 00:00:00,Sweden,North Central Sweden,SE-SE2,1.39,19.10,99.81,99.81,entsoe.eu,false,
2024-01-15 00:00:00,Sweden,North Central Sweden,SE-SE2,1.04,18.15,99.88,99.88,entsoe.eu,false,
2024-01-16 00:00:00,Sweden,North Central Sweden,SE-SE2,1.40,18.29,99.78,99.78,entsoe.eu,false,
2024-01-17 00:00:00,Sweden,North Central Sweden,SE-SE2,0.74,15.80,99.90,99.90,entsoe.eu,false,
2024-01-18 00:00:00,Sweden,North Central Sweden,SE-SE2,0.68,15.74,99.92,99.91,entsoe.eu,false,
2024-01-19 00:00:00,Sweden,North Central Sweden,SE-SE2,0.75,16.37,99.92,99.92,entsoe.eu,false,
2024-01-20 00:00:00,Sweden,North Central Sweden,SE-SE2,1.01,17.36,99.87,99.87,entsoe.eu,false,
2024-01-21 00:00:00,Sweden,North Central Sweden,SE-SE2,0.71,16.45,99.92,99.92,entsoe.eu,false,
2024-01-22 00:00:00,Sweden,North Central Sweden,SE-SE2,0.75,17.83,99.94,99.94,entsoe.eu,false,
2024-01-23 00:00:00,Sweden,North Central Sweden,SE-SE2,0.81,18.22,99.94,99.94,entsoe.eu,false,
